dk,52.6,45.7,56.4,47.1,49.3,59.7,54.3,50.1,53.7,43.2,64.7
dh,60.5,51.6,58.9,61.3,62.7,63.2,68.6,63.4,63.2,66.1,50.3
druid,51.7,47.5,55.6,44.3,56.4,51.6,49.3,49.1,58.4,41.0,40.9
hunter,59.6,43.9,59.1,48.8,67.7,58.8,52.2,63.0,59.7,50.7,56.3
mage,60.7,44.1,53.0,38.6,54.4,56.9,49.9,40.8,52.3,55.1,43.4
pala,49.2,46.2,59.1,47.1,54.5,52.1,52.1,54.5,58.0,42.2,41.3
priest,53.9,36.5,59.9,49.1,59.6,60.1,53.7,60.1,58.9,51.0,50.4
rogue,55.4,41.9,55.0,39.1,66.4,54.2,44.7,52.9,53.5,58.2,47.2
shaman,52.4,41.3,44.7,47.3,58.0,45.7,48.0,50.2,55.9,58.1,35.8
warlock,62.0,37.9,65.3,52.7,51.6,60.6,54.7,45.2,48.8,52.0,67.2
warrior,40.7,55.5,66.9,51.0,65.1,66.3,58.2,57.5,70.1,37.3,54.2
